2.5,1,18.6164,40.7706,0.92,2.65143
2.5,2,18.6066,40.8381,0.92,2.65143
2.5,3,18.6066,40.8381,0.92,2.65143
2.5,4,18.5478,40.973,0.92,2.65143
2.5,5,18.5674,40.8381,0.92,2.65143
2.5,6,18.5674,40.9055,0.92,2.65143
2.5,7,18.5674,40.973,0.92,2.65143
2.5,8,18.5674,40.9392,0.92,2.65143
2.5,9,18.5576,40.8718,0.92,2.65143
2.5,10,18.5282,40.9055,0.92,2.65143
2.5,11,18.5184,40.8381,0.92,2.65143
2.5,12,18.5282,40.9055,0.92,2.66332
2.5,13,18.5282,40.9055,0.92,2.65143
2.5,14,18.5282,40.9055,0.92,2.65143
2.5,15,18.538,40.8381,0.92,2.65143
2.5,16,18.5184,40.8381,0.92,2.65143
2.5,17,18.5086,40.8381,0.92,2.65143
2.5,18,18.4988,40.8381,0.92,2.65143
2.5,19,18.4988,40.8718,0.92,2.65143
2.5,20,18.4792,40.8718,0.92,2.65143
2.5,21,18.4792,40.973,0.92,2.65143
2.5,22,18.489,41.0067,0.92,2.65143
2.5,23,18.4694,41.0404,0.92,2.65143
2.5,24,18.4792,41.0404,0.92,2.65143
2.5,25,18.4694,41.0404,0.92,2.65143
2.5,26,18.4694,41.0067,0.92,2.65143
2.5,27,18.4792,40.9392,0.92,2.65143
2.5,28,18.4792,41.0741,0.92,2.65143
2.5,29,18.4694,41.1414,0.92,2.65143
2.5,30,18.4694,41.0404,0.92,2.65143
2.5,31,18.4596,41.1078,0.92,2.65143
2.5,32,18.4596,41.1078,0.92,2.65143
2.5,33,18.4498,41.0741,0.92,2.65143
2.5,34,18.4596,41.0404,0.92,2.65143
2.5,35,18.4596,40.9392,0.92,2.65143
2.5,36,18.44,41.0404,0.92,2.65143
2.5,37,18.4302,41.0741,0.92,2.65143
2.5,38,18.44,41.0404,0.92,2.65143
2.5,39,18.44,41.0404,0.92,2.65143
2.5,40,18.4302,41.0404,0.92,2.65143
2.5,41,18.4106,41.0404,0.92,2.65143
2.5,42,18.4106,41.1078,0.92,2.65143
2.5,43,18.4204,41.0741,0.92,2.65143
2.5,44,18.4204,41.1078,0.92,2.65143
2.5,45,18.4008,41.1078,0.92,2.65143
2.5,46,18.4008,41.0404,0.92,2.65143
2.5,47,18.391,41.0404,0.92,2.65143
2.5,48,18.3812,41.0741,0.92,2.65143
2.5,49,18.391,41.0404,0.92,2.65143
2.5,50,18.3812,41.0404,0.92,2.65143
2.5,51,18.3812,41.1078,0.92,2.65143
2.5,52,18.3616,41.1414,0.92,2.65143
2.5,53,18.3714,41.1751,0.92,2.65143
2.5,54,18.3616,41.1078,0.92,2.65143
2.5,55,18.342,41.1751,0.92,2.65143
2.5,56,18.342,41.2425,0.92,2.65143
2.5,57,18.3518,41.2088,0.92,2.65143
2.5,58,18.342,41.1751,0.92,2.65143
2.5,59,18.3322,41.2425,0.92,2.66332
2.5,60,18.342,41.1751,0.92,2.65143
2.5,61,18.3322,41.2088,0.92,2.65143
2.5,62,18.342,41.2088,0.92,2.65143
2.5,63,18.3322,41.2425,0.92,2.65143
2.5,64,18.3224,41.1751,0.92,2.65143
2.5,65,18.3322,41.2425,0.92,2.65143
2.5,66,18.3224,41.1751,0.92,2.65143
2.5,67,18.3322,41.1078,0.92,2.65143
